▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 4, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 4, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#1, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Bosch->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#1, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Bosch->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 5, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = BrokenEvent, eventTime = 5, DeviceName = Runner 3000->BROKEN, isNeedsEvent = true
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 6, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
